"-- Login page --","-- Login page --"
"-- No redirect --","-- No redirect --"
"Access Rules","Access Rules"
"Actions","Actions"
"Activation Matrix","Activation Matrix"
"Active","Active"
"Add New Rule","Add New Rule"
"B2B Access","B2B Access"
"B2B Access Rules","B2B Access Rules"
"B2B Access Section","B2B Access Section"
"Basic (single gate)","Basic (single gate)"
"Block buy","Block buy"
"Block purchase","Block purchase"
"Block purchasing too","Block purchasing too"
"Both","Both"
"Category IDs","Category IDs"
"Checkout","Checkout"
"Checkout only (allow browsing, block ordering)","Checkout only (allow browsing, block ordering)"
"Customer groups","Customer groups"
"Destination countries","Destination countries"
"Edit","Edit"
"Enabled","Enabled"
"Enforcement","Enforcement"
"Gate by category","Gate by category"
"Gate by customer group","Gate by customer group"
"General","General"
"Hidden-price message","Hidden-price message"
"Hide Prices","Hide Prices"
"Hide from listings and search","Hide from listings and search"
"Hide listing","Hide listing"
"Hide price","Hide price"
"Hide prices","Hide prices"
"Hide products entirely","Hide products entirely"
"Log in to see pricing.","Log in to see pricing."
"Login Wall","Login Wall"
"Message override","Message override"
"Mode","Mode"
"Name","Name"
"New Access Rule","New Access Rule"
"Notice shown to guests","Notice shown to guests"
"Please log in to view this store.","Please log in to view this store."
"Priority","Priority"
"Products","Products"
"Redirect gated product page to","Redirect gated product page to"
"Redirect guests to","Redirect guests to"
"Require login to view store","Require login to view store"
"Restrictions","Restrictions"
"Rule name is required.","Rule name is required."
"Rule saved.","Rule saved."
"Rules (multiple rules)","Rules (multiple rules)"
"Save and Continue Edit","Save and Continue Edit"
"Scope","Scope"
"Stores","Stores"
"This product is not available for purchase.","This product is not available for purchase."
"This product is not available in your country.","This product is not available in your country."
"This rule no longer exists.","This rule no longer exists."
"Visibility","Visibility"
"Visibility and checkout","Visibility and checkout"
"Visibility only (hide, but allow checkout)","Visibility only (hide, but allow checkout)"
